Month,WeekIndex,Start,End,Focus,Tasks
2025-08,1,2025-08-28,2025-09-03,SI Ch.2；Python Ch.1–2；LC数组/哈希,SI Ch.2 精读 + 习题8–12题 ; Python for Data Analysis Ch.1–2（pandas基础） ; LeetCode 数组/哈希 10题（每日2题+复盘）
2025-09,1,2025-09-04,2025-09-10,SI Ch.3；Bootstrap 初识；LC字符串/栈队列,SI Ch.3 精读 + 习题10题（LIE/Total Variance） ; Practical Stats：抽样/置信区间（选读） ; LC 字符串/栈队列 10题
2025-09,2,2025-09-11,2025-09-17,SI Ch.4（MLE）；Python清洗Ch.3；LC排序/二分,SI Ch.4 精读 + 推导：Normal μ/σ²、Poisson λ ; Python for Data Analysis Ch.3（清洗） ; LC 排序/二分 10题
2025-09,3,2025-09-18,2025-09-24,SI Ch.5（CI/检验）；多组比较直觉；LC链表/滑窗,SI Ch.5 精读 + t/KS 检验习题 ; Practical Stats：多重比较（BH/FDR）概览 ; LC 链表/滑动窗口 10题
2025-09,4,2025-09-25,2025-10-01,SI 总结与案例阅读；LC补齐,整理1–2页公式小抄 ; 阅读 DMA 入门执行章节（选） ; LC 补齐到 40–50题
2025-10,1,2025-10-02,2025-10-08,Bootstrap/CI 深化,Practical Stats：Bootstrap章节 ; 面试书：概率5题
2025-10,2,2025-10-09,2025-10-15,DMA 订单执行入门章,Johnson DMA 选读1–2章 ; 面试书：脑筋急转弯5题
2025-10,3,2025-10-16,2025-10-22,多重比较（BH/FDR）,Practical Stats 多重比较章节精读与例题 ; LC 每天2题
2025-10,4,2025-10-23,2025-10-29,统计沟通写作,统计报告表达范式整理（结论先行） ; LC 每天2题 + 概率题5道
2025-10,5,2025-10-30,2025-11-05,统计沟通写作,统计报告表达范式整理（结论先行） ; LC 每天2题 + 概率题5道
2025-11,1,2025-11-06,2025-11-12,检验巩固,t/KS/Mann–Whitney 例题10道 ; LC 每天2题
2025-11,2,2025-11-13,2025-11-19,时间序列入门,ACF/PACF 读图；AR(1) 直觉 ; 面试书 概率5题
2025-11,3,2025-11-20,2025-11-26,FDR与鲁棒性,BH 步骤卡片；滚动窗口思想 ; LC 每天2题
2025-11,4,2025-11-27,2025-12-03,沟通与可视化,显著性与鲁棒性写作模板1页 ; LC 每天2题
2025-12,1,2025-12-04,2025-12-10,ISLR Ch.1–3,线性回归/验证/偏差-方差笔记 ; LC 每天2题
2025-12,2,2025-12-11,2025-12-17,ISLR Ch.6 正则化,Ridge/Lasso 直觉+推导小抄 ; 面试书 概率5题
2025-12,3,2025-12-18,2025-12-24,Python可视化,Matplotlib统计图套路（误差棒/箱线） ; LC 每天2题
2025-12,4,2025-12-25,2025-12-31,综合复习,ISLR 已读章总结；错题回看 ; LC 每天2题
2026-01,1,2026-01-01,2026-01-07,树模型与调参,Hands-On ML：树/随机森林/超参 ; 题库：概率/统计/代码各3题
2026-01,2,2026-01-08,2026-01-14,模型校准与解释,Hands-On ML：校准/特征重要性 ; 题库：每日2题+复盘
2026-01,3,2026-01-15,2026-01-21,简历写法参考,优秀简历案例拆解；量化关键词表 ; 面试书：行为面清单
2026-01,4,2026-01-22,2026-01-28,查缺补漏,统计/时序薄弱点回补 ; 题库：混合练习
2026-01,5,2026-01-29,2026-02-04,查缺补漏,统计/时序薄弱点回补 ; 题库：混合练习
2026-02,1,2026-02-05,2026-02-11,实验设计与偏差,Practical Stats 实验设计章；偏差清单 ; 题库：每日2题
2026-02,2,2026-02-12,2026-02-18,时间序列巩固,ARIMA/GARCH 直觉级别；何时该用 ; 题库：每日2题+小测
2026-02,3,2026-02-19,2026-02-25,统计陷阱与鲁棒,过拟合/泄露/多重比较复习 ; 题库：每日2题
2026-02,4,2026-02-26,2026-03-04,综合回看,错题回顾；写 FAQ ; 题库：每日2题
2026-03,1,2026-03-05,2026-03-11,Quant 面经书精读1,概率/逻辑/脑筋急转弯套题 ; 题库：每日2题
2026-03,2,2026-03-12,2026-03-18,Quant 面经书精读2,金融常识/产品关键词 ; 题库：每日2题
2026-03,3,2026-03-19,2026-03-25,讲项目的语言,把统计/工程转成故事要点 ; 题库：每日2题
2026-03,4,2026-03-26,2026-04-01,综合模拟,15题混合卷；自评分+复盘 ; 题库：每日2题
2026-04,1,2026-04-02,2026-04-08,统计与CI复习,公式卡更新；口述法10分钟 ; 题库：每日2题
2026-04,2,2026-04-09,2026-04-15,时序/执行概念复习,关键词一页纸 ; 题库：每日2题
2026-04,3,2026-04-16,2026-04-22,错题本清零1,重做常错题 ; 题库：每日2题
2026-04,4,2026-04-23,2026-04-29,错题本清零2,再过一轮 ; 题库：每日2题
2026-04,5,2026-04-30,2026-05-06,错题本清零2,再过一轮 ; 题库：每日2题
2026-05,1,2026-05-07,2026-05-13,最后复盘清单,十大高频知识点口述演练 ; 题库：三天一套小测
2026-05,2,2026-05-14,2026-05-15,轻量维护,每天复习10分钟 + 维持手感 ; 题库：错题回看
